ville,code_postal,alti_min,alti_max
Montbéliard,25200,280,438
Belfort,90000,354,650
Paris,75000,28,129
Marseille,13000,0,640
Lyon,69000,162,312
Toulouse,31000,115,263
Nice,06000,0,520
Nantes,44000,2,42
Strasbourg,67000,132,151
Montpellier,34000,7,118
Bordeaux,33000,2,49
Lille,59000,17,47
Rennes,35000,12,48
Reims,51100,80,123
Le Havre,76000,0,105
Saint-Étienne,42000,426,1394
Toulon,83000,0,584
Grenoble,38000,204,478
Dijon,21000,220,405
Angers,49000,12,74
Nîmes,30000,21,215
Villeurbanne,69100,162,312
Clermont-Ferrand,63000,321,502
Le Mans,72000,39,138
Aix-en-Provence,13090,59,269
Brest,29200,0,74
Tours,37000,41,102
Amiens,80000,33,109
Limoges,87000,200,431
